iata_code,name,city,country,latitude,longitude,is_tourist_stopover,visa_notes,hub_airlines
BOG,El Dorado International Airport,Bogotá,Colombia,-4.7016,-74.1469,false,"Ciudadanos colombianos no requieren visa para salir desde aquí. Verificar siempre con el consulado del país de destino.","Avianca,LATAM,Copa Airlines"
MDE,José María Córdova International Airport,Medellín,Colombia,6.1645,-75.4232,false,"Ciudadanos colombianos no requieren visa para salir desde aquí. Verificar siempre con el consulado del país de destino.","Avianca,LATAM,American Airlines"
CLO,Alfonso Bonilla Aragón International Airport,Cali,Colombia,3.5432,-76.3816,false,"Ciudadanos colombianos no requieren visa para salir desde aquí. Verificar siempre con el consulado del país de destino.","Avianca,LATAM"
BNE,Brisbane Airport,Brisbane,Australia,-27.3842,153.1175,true,"Se requiere visa australiana (ETA o e-Visitor) para ingresar. Solicitar con anticipación en el portal oficial de inmigración australiana.","Qantas,Virgin Australia,Jetstar"
SYD,Sydney Kingsford Smith Airport,Sídney,Australia,-33.9399,151.1753,true,"Se requiere visa australiana (ETA o e-Visitor). Solicitar con anticipación en el portal oficial de inmigración australiana.","Qantas,Virgin Australia,Singapore Airlines"
MEL,Melbourne Airport,Melbourne,Australia,-37.6733,144.8430,true,"Se requiere visa australiana (ETA o e-Visitor). Solicitar con anticipación en el portal oficial de inmigración australiana.","Qantas,Emirates,Singapore Airlines"
PER,Perth Airport,Perth,Australia,-31.9403,115.9669,true,"Se requiere visa australiana (ETA o e-Visitor). Solicitar con anticipación. Perth es puerta de entrada desde Singapur y Dubái.","Qantas,Singapore Airlines,Malaysia Airlines"
IST,Istanbul Airport,Estambul,Türkiye,41.2753,28.7519,true,"Colombianos pueden obtener e-visa o visa on arrival para Turquía (verificar vigencia). Tránsito generalmente no requiere visa. VERIFICAR OFICIALMENTE.","Turkish Airlines"
DOH,Hamad International Airport,Doha,Qatar,25.2731,51.6081,true,"Tránsito en DOH generalmente no requiere visa. Para estadía turística, e-visa disponible. Colombianos deben verificar. VERIFICAR OFICIALMENTE.","Qatar Airways"
DXB,Dubai International Airport,Dubái,UAE,25.2528,55.3644,true,"Tránsito en DXB generalmente no requiere visa (zona de tránsito). Para salir del aeropuerto se requiere visa UAE. Verificar según aerolínea. VERIFICAR OFICIALMENTE.","Emirates,flydubai"
ICN,Incheon International Airport,Seúl,Corea del Sur,37.4602,126.4407,true,"Colombianos pueden ingresar a Corea del Sur sin visa por hasta 90 días (acuerdo bilateral vigente). Verificar estado actual. VERIFICAR OFICIALMENTE.","Korean Air,Asiana Airlines"
SIN,Changi Airport,Singapur,Singapur,1.3644,103.9915,true,"Colombianos pueden ingresar a Singapur sin visa por hasta 30 días (verificar). Tránsito generalmente sin visa. VERIFICAR OFICIALMENTE.","Singapore Airlines,Scoot"
KUL,Kuala Lumpur International Airport,Kuala Lumpur,Malasia,2.7456,101.7099,true,"Colombianos pueden ingresar a Malasia sin visa por hasta 30 días (verificar). Buena escala económica. VERIFICAR OFICIALMENTE.","Malaysia Airlines,AirAsia"
MAD,Adolfo Suárez Madrid-Barajas Airport,Madrid,España,40.4936,-3.5668,true,"Colombianos necesitan visa Schengen para ingresar a España/UE. Tránsito en zona internacional generalmente sin visa. VERIFICAR OFICIALMENTE.","Iberia,Air Europa"
LAX,Los Angeles International Airport,Los Ángeles,EE.UU.,33.9425,-118.4081,false,"Colombianos requieren visa de turista (B-2) o ESTA si aplica para EEUU. Tránsito también puede requerir visa de tránsito (C). VERIFICAR OFICIALMENTE.","United,American,Delta"
SCL,Arturo Merino Benítez International Airport,Santiago,Chile,-33.3930,-70.7858,false,"Colombianos no requieren visa para Chile (verificar acuerdos vigentes). Buena conexión sudamericana. VERIFICAR OFICIALMENTE.","LATAM,Sky Airline"
AKL,Auckland Airport,Auckland,Nueva Zelanda,-37.0082,174.7917,true,"Colombianos requieren visa NZeTA (electrónica) para ingresar a Nueva Zelanda. Buena parada combinando con Australia. VERIFICAR OFICIALMENTE.","Air New Zealand,Qantas"
HKG,Hong Kong International Airport,Hong Kong,China,22.3080,113.9185,true,"Colombianos pueden ingresar sin visa a Hong Kong por hasta 14 días (verificar). Excelente hub asiático. VERIFICAR OFICIALMENTE.","Cathay Pacific,Hong Kong Airlines"
NRT,Narita International Airport,Tokio,Japón,35.7720,140.3929,true,"Colombianos pueden ingresar a Japón sin visa por hasta 90 días (verificar acuerdo bilateral vigente). VERIFICAR OFICIALMENTE.","Japan Airlines,ANA"
GRU,Guarulhos International Airport,São Paulo,Brasil,-23.4356,-46.4731,false,"Colombianos no requieren visa para Brasil (verificar). Hub importante en Sudamérica. VERIFICAR OFICIALMENTE.","LATAM,Gol,Azul"
